Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4499900k free), swap 16212796k(12157380k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:19:08.085+0800: 52.295: [GC (Allocation Failure) 2020-10-27T01:19:08.085+0800: 52.295: [DefNew: 33962K->30K(38144K), 0.0027901 secs] 58004K->24072K(122816K), 0.0028908 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:08.801+0800: 53.012: [GC (Allocation Failure) 2020-10-27T01:19:08.801+0800: 53.012: [DefNew: 33950K->34K(38144K), 0.0030877 secs] 57992K->24076K(122816K), 0.0031816 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:09.466+0800: 53.676: [GC (Allocation Failure) 2020-10-27T01:19:09.466+0800: 53.676: [DefNew: 33954K->40K(38144K), 0.0026365 secs] 57996K->24082K(122816K), 0.0027223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:10.183+0800: 54.394: [GC (Allocation Failure) 2020-10-27T01:19:10.183+0800: 54.394: [DefNew: 33960K->29K(38144K), 0.0036616 secs] 58002K->24071K(122816K), 0.0037634 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:10.961+0800: 55.172: [GC (Allocation Failure) 2020-10-27T01:19:10.961+0800: 55.172: [DefNew: 33949K->34K(38144K), 0.0033565 secs] 57991K->24076K(122816K), 0.0034749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:11.621+0800: 55.845: [GC (Allocation Failure) 2020-10-27T01:19:11.621+0800: 55.845: [DefNew: 33954K->30K(38144K), 0.0035486 secs] 57996K->24072K(122816K), 0.0036542 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:19:12.293+0800: 56.518: [GC (Allocation Failure) 2020-10-27T01:19:12.293+0800: 56.518: [DefNew: 33950K->39K(38144K), 0.0033691 secs] 57992K->24081K(122816K), 0.0034774 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:19:12.965+0800: 57.181: [GC (Allocation Failure) 2020-10-27T01:19:12.965+0800: 57.182: [DefNew: 33959K->44K(38144K), 0.0028086 secs] 58001K->24086K(122816K), 0.0029176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:13.575+0800: 57.786: [GC (Allocation Failure) 2020-10-27T01:19:13.575+0800: 57.786: [DefNew: 33964K->35K(38144K), 0.0034314 secs] 58006K->24077K(122816K), 0.0035518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:14.195+0800: 58.416: [GC (Allocation Failure) 2020-10-27T01:19:14.195+0800: 58.416: [DefNew: 33955K->47K(38144K), 0.0035352 secs] 57997K->24089K(122816K), 0.0036383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
